Constructor,Country,City,latitude,longitude
Mercedes,UK,Brackley,52.02187101195722,-1.1465686448603143
Ferrari,Italy,Maranello,44.53378816737139,10.864266359147145
Red Bull,UK,Milton keynes,52.00838167670694,-0.6928142065741849
McLaren,UK,Woking,51.34604951906819,-0.5483470971254426
Aston Martin,UK,Silverstone,52.07798098681586,-1.0286564313642512
Alpine,UK,Enstone,51.92041428954361,-1.3907812891208458
Haas,UK,Banbury,52.06570724600592,-1.3142020349164774
AlphaTauri,Italy,Faenza,44.30821692580465,11.864015953247998
Alfa Romeo,Switzerland,Hinwill,47.30879143123224,8.817492733538527
Williams,UK,Grove,51.61849638597461,-1.4119815737147274

